"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.386235583E0,-4.717707634E-3,-1.223087311E-2,1.373386383E-2,1.898604851E-2
1.391256104E0,-9.546637535E-3,-2.176654339E-2,4.117012024E-3,2.412199178E-2
1.396276625E0,-9.583950043E-3,-2.172005177E-2,2.307128906E-2,3.310433697E-2
1.401297146E0,-4.872560501E-3,-1.687383652E-2,2.761936188E-2,3.273067911E-2
1.406317666E0,-4.945993423E-3,-1.686245203E-2,1.788616180E-2,2.507428810E-2
1.411338187E0,-1.927006245E-2,-7.365584373E-3,8.234024048E-3,2.221230046E-2
1.416358708E0,-5.035400391E-3,-2.696335316E-3,-1.342773438E-3,5.867582273E-3
1.421379229E0,-5.110383034E-3,-1.230573654E-2,3.411293030E-3,1.375442062E-2
1.426399750E0,-1.468169689E-2,-1.228648424E-2,8.122444153E-3,2.079625009E-2
1.431420271E0,-5.179286003E-3,-2.176439762E-2,-6.198883057E-3,2.321508472E-2
1.436440791E0,-5.255937576E-3,-1.682037115E-2,1.283264160E-2,2.179968935E-2
1.441461312E0,-1.482892036E-2,-7.272243500E-3,-6.277084351E-3,1.766873489E-2
1.446481833E0,-1.482510567E-2,-1.194596291E-2,3.257751465E-3,1.931586737E-2
1.451502354E0,-1.471805573E-2,-1.193541288E-2,7.982254028E-3,2.056189739E-2
1.456522875E0,-1.941215992E-2,-1.667344570E-2,-1.584053040E-3,2.563873960E-2
1.461543396E0,-9.818792343E-3,-2.136629820E-2,2.216911316E-2,3.231713106E-2
1.466563916E0,-9.799480438E-3,-1.182043552E-2,1.248741150E-2,1.979110807E-2
1.471584437E0,-1.928305626E-2,-2.125632763E-2,7.629394531E-3,2.969638671E-2
1.476604958E0,-1.918768883E-2,-6.865382195E-3,1.230907440E-2,2.380785979E-2
1.481625479E0,-1.914203167E-2,-1.173752546E-2,1.220321655E-2,2.555592641E-2
1.486646000E0,-9.602546692E-3,-1.652312279E-2,1.209545135E-2,2.261686170E-2
1.491666521E0,9.351730347E-3,-1.657772064E-2,-2.253532410E-3,1.916648352E-2
1.496687041E0,-1.458299160E-2,-7.071852684E-3,-6.988525391E-3,1.764976576E-2
1.501707562E0,-1.458132267E-2,-2.405107021E-3,1.205825806E-2,1.907357067E-2
1.506728083E0,-1.458251476E-2,-2.531409264E-3,1.195240021E-2,1.902413310E-2
1.511748604E0,-1.937806606E-2,-1.209062338E-2,2.133560181E-2,3.125540789E-2
